
<div>meteorite [ˈmi:ti:əˌraɪt] n.陨星，陨石<br>
petal [ˈpetl] n.花瓣<br>
cautious [ˈkɔ:ʃəs] adj.小心的，谨慎的<br>
forbidding [fəˈbɪdɪŋ] adj.可怕的，冷峻的，令人生畏的<br>
absorb [əbˈsɔ:b] vt.吸收（液体、知识）<br>
bundle [ˈbʌndl] vt.捆<br>
loose [lu:s] adj.宽松的；不牢固的<br>
terrify [ˈterifai] vt.使恐怖，使惊吓<br>
arc [ɑ:k] n.弧形，拱形<br>
courier [ˈkʊəri:ə] n.快递员，信使<br>
sensibility [ˌsensəˈbɪlɪti:] n.敏感性，感性<br>
simplicity [simˈplisiti] n.简单；朴素<br>
epoch [ˈi:pɔk] n.新纪元，时代<br>
</div>

<div>sac [sæk] n.（生物）囊，液囊<br>
insistence [ɪnˈsɪstɵns] n.坚持<br>
grip [ɡrip] v.紧握，紧抓<br>
raze [reɪz] vt.夷为平地<br>
apportion [əˈpɔ:ʃən] vt.（按比例或计划）分配<br>
incidence [ˈinsidəns] n.发生，出现；发生频率<br>
weapon [ˈwepən] n.武器<br>
ethnic [ˈeθnik] adj.种族的；民族的<br>
conglomerate [kənˈglɔməˌreɪt] n.混合；企业集团<br>
laborer [ˈleɪbərə] n.劳动者；劳工<br>
ventilation [ˌventlˈeɪʃən] n.通风<br>
diverse [daiˈvəs] adj.不同的，各式各样的<br>
depict [diˈpikt] vt.描绘；描写，描述<br>
slipper [ˈslipə] n.拖鞋<br>
deterrent [dɪˈtɜ:rənt] n.制止物，威慑力量<br>
lasting [ˈlæstɪŋ] adj.持久的；永恒的，耐力的<br>
humanist [ˈhju:mənist] n.人道主义者，人文主义者<br>
affordable [əˈfɔ:dəbəl] adj.负担得起的，便宜的<br>
molecular [məˈlekjələ] adj.分子的<br>
merger [ˈmɜ:dʒə] n.合并<br>
</div>

<div>supervise [ˈsju:pəvaiz] vt.监督，指导<br>
announcer [əˈnaʊnsə] n.广播员，播音员<br>
score [skɔ:] v.得分，记分<br>
flounder [ˈflaʊndə] v.挣扎，艰难地移动<br>
transcend [trænˈsend] vt.超出，超越<br>
addictive [əˈdɪktɪv] adj.（使人）上瘾的<br>
enrich [inˈritʃ] vt.加料于（食物）；使富足，使肥沃<br>
patron [ˈpeitrən] n.赞助人，资助人；老主顾，顾客<br>
progressive [prəˈɡresiv] adj.前进的；累进的<br>
painstaking [ˈpeɪnzˌteɪkɪŋ] adj.辛苦的，辛勤的<br>
gaseous [ˈgæsi:əs] adj.气体的，气态的<br>
diet [ˈdaiət] vi.节食，忌食<br>
flashlight [ˈflæʃˌlaɪt] n.手电筒；闪光灯<br>
consciously [ˈkɔnʃəslɪ] adv.有意识地，自觉地<br>
suburb [ˈsʌbə:b] n.郊区<br>
deform [dɪˈfɔ:m] vt.使变形<br>
exhilarating [ɪgˈzɪləˌreɪtɪŋ] adj.爽快的，令人兴奋的<br>
dreadful [ˈdredful] adj.可怕的<br>
glorify [ˈglɔ:rəˌfaɪ] v.美化，赞扬<br>
mania [ˈmeɪni:ə] n.狂热<br>
</div>
